year,yield,fall_tmax,fall_tmin,fall_precip,fall_solar,winter_tmax,winter_tmin,winter_precip,winter_solar,spring_tmax,spring_tmin,spring_precip,spring_solar,avg_tmax,avg_tmin,total_precip,total_solar,avg_temp,temp_range
2024,40.0,71.50923068706805,51.88846103961651,5.679999906569719,1354.2399940490723,45.403845860407905,27.96307681157039,4.659999901428819,854.8499946594238,68.02000075120192,45.96153846153846,8.279999958351254,1885.6799926757812,61.64435909955929,41.93769210424178,18.619999766349792,4094.7699813842773,51.791025601900536,19.706666995317505
2024,38.0,71.50923068706805,51.88846103961651,5.679999906569719,1354.2399940490723,45.403845860407905,27.96307681157039,4.659999901428819,854.8499946594238,68.02000075120192,45.96153846153846,8.279999958351254,1885.6799926757812,61.64435909955929,41.93769210424178,18.619999766349792,4094.7699813842773,51.791025601900536,19.706666995317505
2023,35.0,70.32153848501352,49.416154421292816,3.8599999453872442,1403.3700141906738,44.28692362858699,24.79615409557636,3.5100000258535147,930.3599967956543,66.16153775728665,44.53769214336689,3.9899999275803566,1828.4400100708008,60.25666662362905,39.58333355341202,11.359999898821115,4162.170021057129,49.92000008852054,20.673333070217033
2023,32.0,70.32153848501352,49.416154421292816,3.8599999453872442,1403.3700141906738,44.28692362858699,24.79615409557636,3.5100000258535147,930.3599967956543,66.16153775728665,44.53769214336689,3.9899999275803566,1828.4400100708008,60.25666662362905,39.58333355341202,11.359999898821115,4162.170021057129,49.92000008852054,20.673333070217033
2023,32.0,70.32153848501352,49.416154421292816,3.8599999453872442,1403.3700141906738,44.28692362858699,24.79615409557636,3.5100000258535147,930.3599967956543,66.16153775728665,44.53769214336689,3.9899999275803566,1828.4400100708008,60.25666662362905,39.58333355341202,11.359999898821115,4162.170021057129,49.92000008852054,20.673333070217033
2023,29.0,70.32153848501352,49.416154421292816,3.8599999453872442,1403.3700141906738,44.28692362858699,24.79615409557636,3.5100000258535147,930.3599967956543,66.16153775728665,44.53769214336689,3.9899999275803566,1828.4400100708008,60.25666662362905,39.58333355341202,11.359999898821115,4162.170021057129,49.92000008852054,20.673333070217033
2023,29.0,70.32153848501352,49.416154421292816,3.8599999453872442,1403.3700141906738,44.28692362858699,24.79615409557636,3.5100000258535147,930.3599967956543,66.16153775728665,44.53769214336689,3.9899999275803566,1828.4400100708008,60.25666662362905,39.58333355341202,11.359999898821115,4162.170021057129,49.92000008852054,20.673333070217033
2022,37.0,71.82384667029747,52.406922853910004,5.640000008046627,1357.0799942016602,47.456153869628906,25.375384624187763,0.9900000113993883,997.4099884033203,67.66692264263446,45.57615368182842,10.260000087320805,1847.7599868774414,62.315641060853615,41.119487053308724,16.89000010676682,4202.249969482422,51.71756405708117,21.19615400754489
2022,38.0,71.82384667029747,52.406922853910004,5.640000008046627,1357.0799942016602,47.456153869628906,25.375384624187763,0.9900000113993883,997.4099884033203,67.66692264263446,45.57615368182842,10.260000087320805,1847.7599868774414,62.315641060853615,41.119487053308724,16.89000010676682,4202.249969482422,51.71756405708117,21.19615400754489
2022,39.0,71.82384667029747,52.406922853910004,5.640000008046627,1357.0799942016602,47.456153869628906,25.375384624187763,0.9900000113993883,997.4099884033203,67.66692264263446,45.57615368182842,10.260000087320805,1847.7599868774414,62.315641060853615,41.119487053308724,16.89000010676682,4202.249969482422,51.71756405708117,21.19615400754489
2022,39.0,71.82384667029747,52.406922853910004,5.640000008046627,1357.0799942016602,47.456153869628906,25.375384624187763,0.9900000113993883,997.4099884033203,67.66692264263446,45.57615368182842,10.260000087320805,1847.7599868774414,62.315641060853615,41.119487053308724,16.89000010676682,4202.249969482422,51.71756405708117,21.19615400754489
2022,39.0,71.82384667029747,52.406922853910004,5.640000008046627,1357.0799942016602,47.456153869628906,25.375384624187763,0.9900000113993883,997.4099884033203,67.66692264263446,45.57615368182842,10.260000087320805,1847.7599868774414,62.315641060853615,41.119487053308724,16.89000010676682,4202.249969482422,51.71756405708117,21.19615400754489
2021,52.0,67.82230699979343,47.96846125676082,5.119999933987856,1318.4500045776367,41.494999726613365,24.314999957879383,2.8400000389665365,812.8399887084961,65.0999995640346,45.23214326586042,10.789999945089221,1791.7200012207031,58.139102096813794,39.17186816016687,18.749999918043613,3923.009994506836,48.655485128490334,18.96723393664692
2021,55.0,67.82230699979343,47.96846125676082,5.119999933987856,1318.4500045776367,41.494999726613365,24.314999957879383,2.8400000389665365,812.8399887084961,65.0999995640346,45.23214326586042,10.789999945089221,1791.7200012207031,58.139102096813794,39.17186816016687,18.749999918043613,3923.009994506836,48.655485128490334,18.96723393664692
2021,55.0,67.82230699979343,47.96846125676082,5.119999933987856,1318.4500045776367,41.494999726613365,24.314999957879383,2.8400000389665365,812.8399887084961,65.0999995640346,45.23214326586042,10.789999945089221,1791.7200012207031,58.139102096813794,39.17186816016687,18.749999918043613,3923.009994506836,48.655485128490334,18.96723393664692
2021,52.0,67.82230699979343,47.96846125676082,5.119999933987856,1318.4500045776367,41.494999726613365,24.314999957879383,2.8400000389665365,812.8399887084961,65.0999995640346,45.23214326586042,10.789999945089221,1791.7200012207031,58.139102096813794,39.17186816016687,18.749999918043613,3923.009994506836,48.655485128490334,18.96723393664692
2021,48.0,67.82230699979343,47.96846125676082,5.119999933987856,1318.4500045776367,41.494999726613365,24.314999957879383,2.8400000389665365,812.8399887084961,65.0999995640346,45.23214326586042,10.789999945089221,1791.7200012207031,58.139102096813794,39.17186816016687,18.749999918043613,3923.009994506836,48.655485128490334,18.96723393664692
2020,45.0,68.78999974177434,50.11615386376014,4.629999924451113,1340.3800048828125,45.16076894906851,27.303846065814678,4.959999991580844,838.129997253418,64.18923040536734,43.38153839111328,7.950000010430813,1685.2800064086914,59.37999969873673,40.26717944022936,17.53999992646277,3863.790008544922,49.82358956948305,19.11282025850737
2020,46.0,68.78999974177434,50.11615386376014,4.629999924451113,1340.3800048828125,45.16076894906851,27.303846065814678,4.959999991580844,838.129997253418,64.18923040536734,43.38153839111328,7.950000010430813,1685.2800064086914,59.37999969873673,40.26717944022936,17.53999992646277,3863.790008544922,49.82358956948305,19.11282025850737
2020,48.0,68.78999974177434,50.11615386376014,4.629999924451113,1340.3800048828125,45.16076894906851,27.303846065814678,4.959999991580844,838.129997253418,64.18923040536734,43.38153839111328,7.950000010430813,1685.2800064086914,59.37999969873673,40.26717944022936,17.53999992646277,3863.790008544922,49.82358956948305,19.11282025850737
2020,49.0,68.78999974177434,50.11615386376014,4.629999924451113,1340.3800048828125,45.16076894906851,27.303846065814678,4.959999991580844,838.129997253418,64.18923040536734,43.38153839111328,7.950000010430813,1685.2800064086914,59.37999969873673,40.26717944022936,17.53999992646277,3863.790008544922,49.82358956948305,19.11282025850737
2020,47.0,68.78999974177434,50.11615386376014,4.629999924451113,1340.3800048828125,45.16076894906851,27.303846065814678,4.959999991580844,838.129997253418,64.18923040536734,43.38153839111328,7.950000010430813,1685.2800064086914,59.37999969873673,40.26717944022936,17.53999992646277,3863.790008544922,49.82358956948305,19.11282025850737
2019,52.0,65.04000003521259,47.89076878474309,13.199999870732427,1188.8599815368652,42.058461115910454,23.911538490882286,5.780000088736415,813.0299949645996,60.91153878432054,41.243846269754265,16.120000086724758,1659.2699813842773,56.003333311814536,37.68205118179321,35.1000000461936,3661.159957885742,46.84269224680388,18.321282130021324
2019,53.0,65.04000003521259,47.89076878474309,13.199999870732427,1188.8599815368652,42.058461115910454,23.911538490882286,5.780000088736415,813.0299949645996,60.91153878432054,41.243846269754265,16.120000086724758,1659.2699813842773,56.003333311814536,37.68205118179321,35.1000000461936,3661.159957885742,46.84269224680388,18.321282130021324
2019,50.0,65.04000003521259,47.89076878474309,13.199999870732427,1188.8599815368652,42.058461115910454,23.911538490882286,5.780000088736415,813.0299949645996,60.91153878432054,41.243846269754265,16.120000086724758,1659.2699813842773,56.003333311814536,37.68205118179321,35.1000000461936,3661.159957885742,46.84269224680388,18.321282130021324
2019,50.0,65.04000003521259,47.89076878474309,13.199999870732427,1188.8599815368652,42.058461115910454,23.911538490882286,5.780000088736415,813.0299949645996,60.91153878432054,41.243846269754265,16.120000086724758,1659.2699813842773,56.003333311814536,37.68205118179321,35.1000000461936,3661.159957885742,46.84269224680388,18.321282130021324
2019,49.0,65.04000003521259,47.89076878474309,13.199999870732427,1188.8599815368652,42.058461115910454,23.911538490882286,5.780000088736415,813.0299949645996,60.91153878432054,41.243846269754265,16.120000086724758,1659.2699813842773,56.003333311814536,37.68205118179321,35.1000000461936,3661.159957885742,46.84269224680388,18.321282130021324
2018,38.0,69.39461517333984,51.10923092181866,4.830000039190054,1297.620002746582,43.854614844689,24.279230484595665,1.32999999076128,914.5099983215332,68.00846158541165,44.67538525508,5.710000030696392,1797.7599868774414,60.419230534480164,40.02128222049811,11.870000060647726,4009.8899879455566,50.220256377489136,20.397948313982056
2018,38.0,69.39461517333984,51.10923092181866,4.830000039190054,1297.620002746582,43.854614844689,24.279230484595665,1.32999999076128,914.5099983215332,68.00846158541165,44.67538525508,5.710000030696392,1797.7599868774414,60.419230534480164,40.02128222049811,11.870000060647726,4009.8899879455566,50.220256377489136,20.397948313982056
